Grouping, Casino, Game, Day, Date, Time, Cost, Vig%, S-Points, Notes, 
Vegas 2018, Venetian, No Limit Holdem , Mon, 5/14/2018, 12:00 PM,340,17.60%,97, #1-A,
Vegas 2018, Venetian, No Limit Holdem , Mon, 5/14/2018, 7:05 PM,200,20%,32, #2,
Vegas 2018, Venetian, No Limit Holdem , Tue, 5/15/2018, 12:00 PM,340,17.60%,97, #1-B,
Vegas 2018, Venetian, No Limit Holdem , Tue, 5/15/2018, 7:05 PM,200,20%,32, #3: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Wed, 5/16/2018, 12:00 PM,400,14.50%,54, #4,
Vegas 2018, Venetian, No Limit Holdem , Wed, 5/16/2018, 7:05 PM,200,20%,32, #5: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Thu, 5/17/2018, 12:00 PM,400,15%,87, #6-A,
Vegas 2018, Venetian, No Limit Holdem , Thu, 5/17/2018, 7:05 PM,200,20%,32, #7: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Fri, 5/18/2018, 12:00 PM,400,15%,87, #6-B,
Vegas 2018, Venetian, No Limit Holdem , Fri, 5/18/2018, 7:05 PM,300,16.70%,32, #8: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Sat, 5/19/2018, 12:00 PM,400,15%,87, #6-C,
Vegas 2018, Venetian, No Limit Holdem , Sat, 5/19/2018, 7:05 PM,300,16.70%,32, #9: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Sun, 5/20/2018, 12:00 PM,300,16.70%,40, #10: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Sun, 5/20/2018, 7:05 PM,200,21%,35, #12,
Vegas 2018, Venetian, No Limit Holdem , Mon, 5/21/2018, 12:00 PM,340,17.60%,97, #13-A,
Vegas 2018, Venetian, No Limit Holdem , Mon, 5/21/2018, 7:05 PM,200,20%,32, #14: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Tue, 5/22/2018, 12:00 PM,340,17.60%,97, #13-B,
Vegas 2018, Venetian, No Limit Holdem , Tue, 5/22/2018, 7:05 PM,200,20%,32, #15,
Vegas 2018, Venetian, No Limit Holdem , Wed, 5/23/2018, 12:00 PM,400,14.50%,54, #16,
Vegas 2018, Venetian, No Limit Holdem , Wed, 5/23/2018, 7:05 PM,200,20%,32, #17: Rebuy,
Vegas 2018, PH, No Limit Holdem , Thu, 5/24/2018, 11:00 AM,100,25%,45, #1,
Vegas 2018, Venetian, No Limit Holdem , Thu, 5/24/2018, 12:00 PM,600,14.50%,92, #18-A,
Vegas 2018, PH, No Limit Holdem , Thu, 5/24/2018, 7:00 PM,130,23.10%,44, Daily: 5/30 - 7/17 Bounty,
Vegas 2018, Venetian, No Limit Holdem , Thu, 5/24/2018, 7:05 PM,300,16.70%,32, #19: Bounty,
Vegas 2018, PH, No Limit Holdem , Fri, 5/25/2018, 11:00 AM,100,25%,45, #2,
Vegas 2018, Venetian, No Limit Holdem , Fri, 5/25/2018, 12:00 PM,600,14.50%,92, #18-B,
Vegas 2018, Venetian, No Limit Holdem , Fri, 5/25/2018, 7:00 PM,300,16.70%,32, #20: Rebuy,
Vegas 2018, Aria, No Limit Holdem , Sat, 5/26/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, PH, No Limit Holdem , Sat, 5/26/2018, 11:00 AM,100,25%,45, #3,
Vegas 2018, Venetian, No Limit Holdem , Sat, 5/26/2018, 12:00 PM,600,14.50%,92, #18-C,
Vegas 2018, Venetian, No Limit Holdem , Sat, 5/26/2018, 7:05 PM,300,16.70%,32, #22: Bounty,
Vegas 2018, Aria, No Limit Holdem , Sun, 5/27/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, PH, No Limit Holdem , Sun, 5/27/2018, 11:00 AM,100,25%,50, #4,
Vegas 2018, Venetian, No Limit Holdem , Sun, 5/27/2018, 11:00 AM,400,14.50%,40, #23: Seniors,
Vegas 2018, Venetian, No Limit Holdem , Sun, 5/27/2018, 12:00 PM,600,13.70%,77, #24,
Vegas 2018, Aria, No Limit Holdem , Sun, 5/27/2018, 7:00 PM,240,18.80%,44, ,
Vegas 2018, Venetian, No Limit Holdem , Sun, 5/27/2018, 7:05 PM,300,17.70%,35, #26,
Vegas 2018, Aria, No Limit Holdem , Mon, 5/28/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, PH, No Limit Holdem , Mon, 5/28/2018, 11:00 AM,100,25%,45, #6,
Vegas 2018, Venetian, No Limit Holdem , Mon, 5/28/2018, 11:00 AM,200,20%,20, #27: Satellite,
Vegas 2018, Venetian, No Limit Holdem , Mon, 5/28/2018, 12:00 PM,1100,11.40%,92, #28-A,
Vegas 2018, Aria, No Limit Holdem , Mon, 5/28/2018, 7:00 PM,240,18.80%,44, ,
